A|art.|un|
REEL|v.|chancelar; vertiginar|
REEL|n.|bobine, spul; (fishing) molinette|
REFECTORY|XXX|manjatoria; refectoria|
REFER|v.|referer (se a), aluder; relater; consultar|
REFEREE|n.|arbitro, referent|
REFERENCE|XXX|referentie, alusion, mention|
REFILL|XXX|recharge (-ar)|
REFINE|v.|rafinar (-ería, -ament)|
REFINEMENT|XXX|elegantie, rafinament|
REFIT|XXX|re-equipar, reparar, rehabilitar|
REFLECT|v.|reflecter (-ion, -or), ponderar; (phys.) reflexer|
REFLEXIVE|adj.|reflexiv|
REFLEXIVE|n.|reflexive|
REFLUX|XXX|reflute|
REFORM|n.|reforme (-ar, -ativ, -ator, -atoria, -ation)|
REFRACT|v.|refracter (-iv, -ion, -or, -ibil)|
REFRACTORY|n.|infusibile|
REFRACTORY|adj.|obstinat, recalcitrant; ínfusibil|
REFRAIN|n.|refrane|
REFRAIN|v.|abstener se de, frenar se|
REFRANGIBLE|XXX|refractibil|
REFRESH|v.|refriscar, recrear|
REFRESHMENT|XXX|refriscament, colation, intermanja|
REFRIGERATE|v.|refrigerar (-ator, -ation)|
REFUGE|XXX|refugie, asil; (place) refugia|
REFUGEE|XXX|refugitor, refugiente|
REFULGENT|XXX|brilliant, splendent|
REFUND|v.|retropayar, rimborsar|
REFUSAL|XXX|refusa|
REFUSE|n.|jettallia, escombre|
REFUSE|v.|refusar; rejecter|
REFUSE POINT-BLANK|v.|refusar decisivmen|
REFUTE|v.|refutar (-abil, -ation)|
REGAIN|v.|reganiar|
REGAL|XXX|reyal|
REGALE|v.|regalar (-ade)|
REGALIA|XXX|insignes, regalie|
REGARD|n.|regarde; estima, egarda|
REGARD|v.|regardar; (consider) egardar, opiner|
REGARDING|XXX|concernent, pri, apropó|
REGARDLESS|XXX|sin egarda|
REGATTA|XXX|regatta|
REGENEATE|v.|regenerar (-at, -ator, -ation)|
REGENT|XXX|reyente (-ie)|
REGICIDE|XXX|reyicid; (the act) reyicidie|
REGIE|XXX|regie|
REGIME|XXX|regíme|
REGIMEN|XXX|diete|
REGIMENT|XXX|regiment (-al, -ation)|
REGION|XXX|region (-al), districte|
REGISTER|n.|registre; liste electoral|
REGISTER|v.|registrar (-ation, -ament); (letters) recomandar|
REGISTRAR|XXX|registrator|
REGISTRY|XXX|buro de plazzament|
REGRESSION|XXX|regression, retrogression|
REGRET|n.|regrete (-ar, -abil)|
REGULAR|XXX|regulari (-tá, -isar)|
REGULATE|v.|regular (-ation, -ament, -ator), guvernar|
REHABILITATE|v.|rehabilitar (-ation)|
REHEARSAL|XXX|prova, repetition|
REHEARSE|v.|provar|
REIGN|n.|regne, reyentie|
REIGN|v.|reyer; prevaler|
REIMBURSE|v.|rimborsar (-ament)|
REIN|XXX|bride (-ar)|
REINCARNATE|v.|reincarnar (-ation)|
REINDEER|XXX|renn (-o, -a)|
REINFORCE|v.|fortificar, infortiar|
REINFORCED CONCRETE|XXX|ferro-beton|
REINS|XXX|bride (-ar)|
REINSTATE|v.|reinstituer, restaurar, retablisser|
REITERATE|v.|iterar (-ation, -ativ), repetir|
REJECT|v.|rejecter (-ion), refusar|
REJOICE|v.|joyar (-ada), jubilar|
REJOIN|v.|rejunter, reunir; (reply) replicar|
REJOINDER|XXX|replica; riposte|
RELAPSE|n.|(crime) recidive (-ar)|
RELAPSE|v.|recader; remaladijar|
RELATE|v.|relater (-ent), referer; (narrate) racontar, narrar|
RELATED|XXX|afin, parent|
RELATION|XXX|relation; (relative) parente|
RELATIONSHIP|XXX|parentitá, afinitá|
RELATIVE|adj.|relativ; pertinent|
RELATIVE|n.|parente|
RELATIVE TO...|XXX|pri, relatent a...|
RELAX|v.|relaxar, mitigar, detender se|
RELAY|n.|relé (-ar)|
RELAY|v.|remplazzar|
RELEASE|v.|liberar (-ation); dechargear; dispensar|
RELEGATE|v.|relegar (-ation)|
RELENT|v.|mollijar, ceder|
RELENTLESS|XXX|ínflexibil, dur, ínexorabil|
RELEVANT|XXX|pertinent, aplicabil|
RELIABLE|XXX|fidibil; pruvat; (of information) bon fundat|
RELIANCE|XXX|fide|
RELIANT|XXX|confident (-ie)|
RELIC|XXX|reliquie|
RELIEF|XXX|sucurse, aleviation, mitigation; auxilie; (sculpture) relief|
RELIEVE|v.|aleviar, mitigar, liberar; (the poor) assister; (ease) facilisar|
RELIGION|XXX|religion; pietá|
RELIGIOUS|XXX|religiosi, pie|
RELINQUISH|v.|renunciar, ceder, abandonar; (an office) demissionar|
RELISH|n.|guste, savura|
RELISH|v.|juir, savurar|
RELUCTANT|XXX|desinclinat, poc inclinat, he-volent|
RELY|v.|fider a, apoyar se a|
REMAIN|v.|restar, (re)maner|
REMAINDER|XXX|reste, restage, residue; lu céteri; (those remaining) li céteris|
REMAINS|XXX|restage|
REMAND|v.|suspender li judicie por ulteriori investigation|
REMARK|n.|remarca, note, comenta|
REMARK|v.|observar (-ation), remarcar; (say) dir|
REMARKABLE|XXX|remarcabil, extraordinari, notabil|
REMEDY|n.|remedie; medicament|
REMEDY|v.|remeder, reparar, rectificar|
REMEMBER|v.|memorar; (recall) rememorar|
REMIND|v.|amemorar|
REMINISCENT|XXX|reminiscent (-ie), memorativ|
REMISS|XXX|negligent, decuidosi|
REMISSION|XXX|remission|
REMIT|v.|remisser, anullar|
REMITTANCE|XXX|remisse|
REMNANT|XXX|rest; remanente|
REMONSTRATE|v.|protestar (-ation), far objectiones|
REMORSE|XXX|remorse|
REMORSELESS|XXX|sin compatiment, cruel, ínexorabil|
REMOTE|XXX|lontan, distant; ancian|
REMOVAL|XXX|translocation; (dismissal) deposition|
REMOVE|v.|remover, alontanar, forprender, abolir; (one's residence) translocar|
REMUNERATE|v.|remunerar (-abil, -ativ, -ation)|
RENAISSANCE|XXX|renascentie|
RENAL|XXX|renal|
REND|v.|lacerar, raffar|
RENDER|v.|dar, rendir; (translate) traducter; (perform) presentar, far, performar|
RENDER VALID|v.|validar|
RENDERING|XXX|version, traduction, presentation|
RENDEZVOUS|XXX|rendevú|
RENEGADE|XXX|renegate, apostatico|
RENEW|v.|renovar (-ation); repetir|
RENNET|XXX|coagulative|
RENOUNCE|v.|renunciar (-ation), abstener se de; (resign) resignar|
RENOVATE|v.|renovar (-ation, -ator)|
RENOWNED|XXX|elebri (-tá), famosi|
RENT|n.|(tear) lacere, fensura; (income) renta; (of house) luage, lu-precie|
RENT|v.|luar (-ation, -ator)|
RENTAL|XXX|luage, lu-payament|
REPAIR|v.|reparar (-ation, -ator, -atura), restaurar|
REPAIR TO|v.|vader a|
REPARTEE|XXX|riposte|
REPAST|XXX|repaste|
REPATRIATE|v.|repatriar (-ation)|
REPAY|v.|retropayar, rimborsar; revancliar|
REPEAL|v.|anullar, abrogar (-ation), revocar|
REPEAT|v.|repetir (-ition, -itor); iterar, recitar|
REPEL|v.|repulser (-iv, -ion), repussar|
REPENT|v.|repenter (-entie)|
REPERCUSSION|XXX|repercussion|
REPERTOIRE|XXX|repertorie|
REPETITION|XXX|repetition|
REPINE|v.|plendir, gemir|
REPLACE|v.|remplazzar, remetter, substituer, vicear|
REPLENISH|v.|replenar|
REPLETE|XXX|plen, complet; sat|
REPLETION|XXX|plenitá, saturitá|
REPLICA|XXX|copie, replica, calca|
REPLY|n.|replica (-ar), response|
REPLY|v.|responDer|
REPORT|n.|raporte (-ar, -ero); rumore, fama; (of gun) craca, son|
REPORT TO THE GUARDROOM|XXX|anuncia vos in li arest-locale|
REPOSE|n.|repose (-ar)|
REPOSITORY|XXX|depositoria|
REPREHEND|v.|censurar, reprimandar|
REPREHENSIBLE|XXX|censurabil, blamabil|
REPRESENT|v.|representar (-ante, -ation, -ativ)|
REPRESENTATIVE|adj.|representativ, tipic|
REPRESENTATIVE|n.|representante, agente|
REPRESS|v.|represser (-iv, -ion)|
REPRIEVE|n.|mora, amnestie|
REPRIEVE|v.|amnestiar, suspender li execution|
REPRIMAND|XXX|reprimande (-ar)|
REPRINT|n.|reprinta (-ar)|
REPRISAL|XXX|represalie|
REPROACH|n.|reproche (-ar)|
REPROBATE|adj.|peccosi, depravat|
REPROBATE|n.|peccator, libertino|
REPROBATE|v.|condamnar; censurar|
REPRODUCE|v.|reproducter (-iv, -ion)|
REPROOF|XXX|censura, admonition|
REPROVE|v.|admonir, reprimandar|
REPTILE|XXX|reptile|
REPUBLIC|XXX|republica (-an, -anisme)|
REPUDIATE|v.|repudiar (-ation); (a statement) dementir|
REPUGNANT|XXX|repugnant (-ie)|
REPULSE|v.|repulser (-ion, -iv), repussar|
REPUTE|n.|fama|
REPUTE|v.|reputar (-ation, -abil)|
REPUTED|XXX|assertet|
REQUEST|n.|demande, petition|
REQUEST|v.|petir, demandar, solicitar|
REQUIEM|XXX|requiem|
REQUIRE|v.|besonar, exiger, postular|
REQUIREMENT|XXX|demande, beson, postulation|
REQUISITE|XXX|necessi, besonat|
REQUISITION|n.|requisition|
REQUISITION|v.|requisir|
REQUITE|v.|recompensar; quittar|
REREDOS|XXX|retable|
RESCIND|v.|anullar, abrogar|
RESCRIPT|XXX|rescripte, edicte|
RESCUE|n.|auxilie, sucurse|
RESCUE|v.|salvar (-ation), sucurser, liberar|
RESEARCH|XXX|resercha (-ar)|
RESEMBLANCE|XXX|similitá, semblantie|
RESEMBLE|v.|similar|
RESEMBLING|XXX|simil a|
RESENT|v.|resentir (-iment)|
RESENTFUL|XXX|rancorosi|
RESERVE|XXX|reserve (-ar, -at, -ation); (native reserve) reservia|
RESERVOIR|XXX|reservuore|
RESIDE|v.|resider (-ente, -entie, -entia, -ential), logiar|
RESIDUE|XXX|residue (-al)|
RESIGN|v.|resignar (se), demisser, demissionar|
RESILIENT|XXX|resaltatori, elastic|
RESIN|XXX|resine (-osi)|
RESIST|v.|resister (-entie, -ibil)|
RESOLUIE|XXX|firm, decidet, resoluet|
RESOLUTION|XXX|resolution; firmitá; decision|
RESOLVE|v.|resoluer|
RESONANT|XXX|resonant (-ie)|
RESORT|n.|loc frequentat; recurse|
RESORT|v.|recurrer, haver recurse a; frequentar|
RESOUND|v.|reverberar, resonar|
RESOURCE|XXX|remedie, ressurse, expediente|
RESOURCEFUL|XXX|ingeniosi|
RESPECT|n.|respecte (-ar, -abil, -osi)|
RESPECTIVE|XXX|relativ, propri|
RESPIRE|v.|respirar (-ation, -atori)|
RESPITE|XXX|réspit; pause, suspension, mora|
RESPLENDENT|XXX|splendent, brilliant|
RESPOND|v.|responDer, replicar|
RESPONDENT|XXX|respondente|
RESPONSE|XXX|response (-abil, -iv)|
RESPONSORY|XXX|responsorie|
REST|v.|reposar; (stay) maner, restar; (lean) apoyar|
REST|n.|repose, pause; (remainder) reste, lu céteri|
RESTAURANT|XXX|restorería, restauration|
RESTFUL|XXX|tranquil, quiet|
RESTITUTION|XXX|restitution|
RESTLESS|XXX|inquiet|
RESTORE|v.|restaurar, restituer, retrodar; renovar|
RESTRAIN|v.|represser, refrenar|
RESTRICT|v.|restricter (-ion, -iv), limitar, reducter|
RESULT|v.|resultar (-ate, -ant)|
RESUME|v.|reprender, recomensar|
RESUME|n.|resumé, resumate|
RESURRECT|v.|resurecter (-ion), revivificar, reviventar|
RESUSCITATE|v.|reviventar, revivificar|
RETAIL|v.|vendir in detallie|
RETAILER|XXX|detalliante, revenditor|
RETAIN|v.|(re)tener|
RETALIATE|v.|far represalies, payar per li sam monete, revanchar|
RETARD|v.|retardar, alentar, impedir|
RETCH|XXX|quasi-vomir|
RETENTION|XXX|retention|
RETICENT|XXX|reservat, silentiosi, taciturn|
RETICULE|XXX|reticul, rete-sac|
RETINA|XXX|retine|
RETINUE|XXX|suita|
RETIRE|v.|retirar se, retraer se; (from a Service) quittar li servicie; demissionar|
RETIRED|XXX|retirat; emerit|
RETIREMENT|XXX|demission, ocie; retirament; solitá, seclusion|
RETIRING|XXX|modest|
RETORT|n.|(chem.) retorte; riposte|
RETORT|v.|ripostar|
RETOUCH|v.|retuchar (-ero)|
RETRACE|v.|retroear|
RETRACT|v.|retraer, retractar, revocar|
RETREAT|n.|retraida, retirada|
RETREAT|v.|retirar se, retraer se|
RETRENCH|v.|restricter li expenses, economisar, limitar|
RETRIBUTION|XXX|retribution|
RETRIEVE|v.|reganiar, recuperar, retabliaser|
RETRO|prefix|retro-cession, -gression, -spection|
RETURN|n.|retorn, revenida; restitution|
RETURN|v.|retornar, revenir; retromisser, redar, retrodar, restituer, rendir; electer|
REUNION|XXX|reunion|
REUNITE|v.|reunir|
REVEAL|v.|revelar (-ation), monstrar, decelar|
REVEILLE|XXX|revellie|
REVEL|v.|festar (-ada), banquettar, regalar se|
REVEL IN|v.|entusiasmar se por|
REVELATION|XXX|revelation; (Bible) apocalipse|
REVENGE|n.|revenja, venjament|
REVENGE|v.|venjar (-aci)|
REVENUE|XXX|revenú|
REVERBERATE|v.|reverberar (-ation), resonar|
REVERE|v.|reverer (-end)|
REVERENT|XXX|reverent (-ie)|
REVERIE|XXX|reverie|
REVERSAL|XXX|inversion, reversion|
REVERSE|v.|reversar; revocar, reverTer|
REVERSE|n.|defete; (side) reverse; (opposite) lu oposit, contrarie|
REVERSION|XXX|reversion|
REVERT|v.|reverTer (-sibil)|
REVIEW|n.|(periodical) revúe|
REVIEW|v.|(troops) inspecter, reviser (-ion); (the past) retrospecter, far revúe de; (books etc.) recenser (-ion, -or)|
REVILE|v.|insultar, injuriar; defamar|
REVISE|v.|reviser (-ion), amendar|
REVIVAL|XXX|renascentie, retorn del vive; reviventation|
REVIVE|v.|reviventar, revivificar; restorar|
REVOKE|v.|revocar (-ation); (at cards) ne observar li suita|
REVOLT|v.|rebeller (-ion), insurecter; (sicken) nausear, revulser|
REVOLTING|XXX|degustant, revulsiv, nauseativ|
REVOLUTION|XXX|revolution (-ari, -ario)|
REVOLVE|v.|revoluer, rotar, girar; meditar|
REVOLVER|XXX|revólver|
REVUE|XXX|revue; inspection|
REVULSION|XXX|revulsion, aversion, reaction subit|
REWARD|n.|recompense (-ar)|
RHAPSODY|XXX|rapsodie|
RHEOSTAT|XXX|reostate|
RHETORIC|XXX|retorica (-al, -astro)|
RHETORICAL|XXX|retoric (-o)|
RHEUMATIC|XXX|reumatic|
RHEUMATISM|XXX|reumatisme|
RHINOCEROS|XXX|rinócero, nasecorn|
RHODIUM|XXX|rhodium|
RHODODENDRON|XXX|rododéndron|
RHOMBUS|XXX|rombe (-oid)|
RHUBARB|XXX|rubarbe|
RHYME|XXX|rim (-ar, -arium, -ero, -astro)|
RHYTHM|XXX|ritme (-ic)|
RIB|XXX|coste (-al)|
RIBALD|XXX|obscen|
RIBBON|XXX|bande; (typewriter ribbon) color-bande|
RICE|XXX|ris|
RICE PLANTATION|XXX|risiera|
RICH|XXX|rich (-esse); fertil, sumptuosi, opulent|
RICK|XXX|fen-piramide|
RICKETS|XXX|rachite (-ic)|
RICOCHET|n.|ricochette (-ar)|
RID|adj.|liberat, debarassat|
RID|v.|liberar (se), desembarassar (se) de|
RIDDLE|n.|enigma, rébus; (sieve) cribelle (-ar); (with shot) perforar|
RIDE|n.|promena (-ada); cavalca|
RIDE|v.|promenar a cavalle, cavalcar; (in vehicle) vehicular; (ride at anchor) flottar ye ancre|
RIDER|XXX|cavalcator; (to a will) codicille|
RIDGE|XXX|creste, sulca, ruga, dorse|
RIDICULE|v.|deriDer (-sion), ridicular, mocar|
RIDICULOUS|XXX|ridicul, absurd|
RIDING-SCHOOL|XXX|manege|
RIG|v.|taclar|
RIGGING|XXX|taclage, cordage|
RIGHT|adj.|ver, just; (straight) rect; corect; (right hand) dextri|
RIGHT|n.|jure; justicie; rason; rectitá|
RIGHT|v.|rectificar; (set upright) erecter, stantar|
RIGHT AS A TRIVET|XXX|in bonissim standa|
RIGHTANGLE|XXX|rectangul (-ari)|
RIGHTEOUS|XXX|vertuosi, sant, honest|
RIGHTPUL|XXX|legitim, just, ver|
RIGID|XXX|rigid (-itá); severi, ínflexibil|
RIGMAROLE|XXX|galimatias|
RIGOUR|XXX|rigore (-osi), severitá|
RILE|v.|iritar, vexar|
RIM|XXX|borde; (of wheel) felga|
RIME|XXX|pruine, gela crinosi|
RIND|XXX|cruste, pelle, cortice|
RING|n.|anelle; circul; (sport) arena|
RING|v.|(bell) sonar, tintinar; (encompass) circumdar; assediar; (echo) resonar|
RINGLEADER|XXX|ductor (chef) de banda|
RINGLET|XXX|bucle|
RINGWORM|XXX|tinea (tonsural)|
RINK|XXX|patinatoria, patinería|
RINSE|v.|rinsar (-allia)|
RIOT|n.|tumultu (-ar), excesse, desórdine; orgie|
RIOT|v.|insurecter (-ion)|
RIOTOUS|XXX|tumultuosi, seditiosi|
RIP|v.|lacerar|
RIPARIAN|XXX|riveran, rivari|
RIPE|XXX|matur (-ar, -itá)|
RIPE|XXX|prevalent, reyent, luxuriant|
RIPLE|v.|spoliar, traserchar|
RIPLE|n.|carabine (-ero), fusil|
RIPLE-BUTTS|XXX|para-balles|
RIPP-RAPF|XXX|canallia|
RIPPLE|v.|undettear|
RIPT|XXX|fensura, fissura|
RISE|n.|ascension, orígine; clive; avansament|
RISE|v.|ascenDer, turrear; levar se; augmentar se|
RISIBLE|XXX|risibil (-itá)|
RISING|XXX|insurection, rebellion; (of sun) ascension|
RISK|n.|risca (-ar), hasarde (-ar), dangere|
RISSOLE|XXX|rissole|
RITE|XXX|ritu (-al, -ale, -alisme)|
RIVAL|XXX|rivale (-isar), concurrente|
RIVER|XXX|rivere, fluvie|
RIVET|XXX|rivete (-ar)|
RIVULET|XXX|riverette|
ROACH|XXX|ray|
ROAD|XXX|strade, via; rute; (naut.) rade|
ROADSIDE|XXX|margine|
ROAM|v.|migrar, vagar|
ROAN|XXX|roan|
ROAR|v.|muir, rugir (-ida); (of applause etc.) eclate|
ROAST|v.|rostar, grillar; (coffee) torrefacter|
ROAST MEAT|XXX|rostate|
ROASTBEEF|XXX|rostbif|
ROB|v.|raubar; deprivar; (steal from) furter|
ROBBER|XXX|furtero, furtard, raubero|
ROBBERY|XXX|raube, furte|
ROBE|v.|vestir|
ROBE|n.|robe; (official gown) talare|
ROBIN|XXX|rubicol, rubi-péctore|
ROBUST|XXX|robust, vigorosi|
ROCK|v.|balansar; lullar|
ROCK|n.|rocca (-osi), petre|
ROCKET|XXX|rakete, roquette|
ROCKOIL|XXX|petroleo|
ROCOCO|XXX|rococo|
ROD|XXX|verge; (fishing) canne a piscar; (mech.) bielle|
RODENT|n.|rodente, rosor|
ROE|XXX|(female deer) cerva; (of fish) pisc-oves|
ROEBUCK|XXX|capreolo|
ROGUE|XXX|rascale, fripon; fraudero; vagabunde|
ROGUISH|XXX|petulant, jocaci|
ROLE|XXX|rol|
ROLL|n.|rulage; liste, registre; (of bread) panette|
ROLL|v.|rular, voluer|
ROLL UP|v.|involuer, inballar; (pastry) platrular|
ROLLER|XXX|rul; cilindre (de jardin)|
ROLLING|adj.|(waves) undeant, undatri|
ROLLING-MILL|XXX|laminería|
ROMANCE|adj.|(language) romanic|
ROMANCE|n.|(literary) roman; (mus.) romance; fabul|
ROMANCE|v.|fabular|
ROMANISE|v.|romanisar|
ROMANTIC|adj.|romantic|
ROMP|XXX|bruosi lude|
RONDEAU|XXX|rondo|
ROOK|XXX|cornille; (Chess) turre|
ROOM|XXX|sala, chambre, cámera; (space) spacie|
ROOMY|XXX|spaciosi, vast,; ampli|
ROOP|XXX|tecte, tegment (-ar, -ero, -age); (of mouth; pálate|
ROOST|XXX|galliniere|
ROOT|n.|radica; orígine, fonte|
ROOT|v.|(in)radicar|
ROOT OUT|v.|eradicar, extirpar|
ROPE|n.|corde, fune|
ROPE|v.|fixar o ligar per corde|
ROPEYARD|XXX|corderia|
RORQUAL|XXX|rorqual|
ROSARY|XXX|rosarium|
ROSE|XXX|rose (-ette)|
ROSEATE|XXX|rosi, rosatri|
ROSEBUSH|XXX|rosiero; (of watering-can) aspersette|
ROSEMARY|XXX|rosmarine|
ROSETTE|XXX|rosette, cocarde|
ROSIN|XXX|resine, colofonie|
ROSTER|XXX|liste de dejoras|
ROSTRUM|XXX|tribune, estrade|
ROSY|XXX|rubi, roscolori, ros-rubi|
ROT|n.|(nonsense) nonsense|
ROT|v.|putrir (-ition, -ificar)|
ROTA|XXX|liste de dejoras|
ROTARY|XXX|rotatori|
ROTATE|v.|rotar (-ator), girar, tornar se|
ROTATION|XXX|rotation, succession|
ROTTEN|XXX|putrid|
ROTUND|XXX|rond|
ROTUNDA|XXX|rotunde|
ROUE|XXX|debochon|
ROUGE|n.|farde, rubi crayon|
ROUGH|XXX|violent; brusqui; ínpolit, rud; (not smooth) aspri; (approximate) aproximativ; (hoarse) rauc|
ROUGHLY|XXX|circa, aproximativmen; brusquimen, violentmen|
ROULETTE|XXX|rulette|
ROUND|adj.|rond, circulari, sferic|
ROUND|n.|ronde, circul; (of ladder) scalun; (applause) salve|
ROUND|v.|arondar|
ROUNDABOUT|adj.|indirect; ad. circa|
ROUNDABOUT|n.|carruselle|
ROUNDEL|XXX|rondelle|
ROUSE|v.|avigilar, alarmar; incitar|
ROUT|v.|derutar|
ROUT|n.|desórdine, fugida; defete; (mil.) derute|
ROUTE|XXX|rute, via|
ROUTINE|XXX|rutine (-ari, -al)|
ROVE|v.|inigrar, vagar|
ROW|n.|(line) range, file, linea; colonne; (noise) clamore, bruida; querelle|
ROW|v.|remar (-ation)|
ROWAN|XXX|sorbe|
ROWDY|adj.|bruosi, tumultuosi|
ROWDY|n.|tumultuon|
ROWLOCK|XXX|tolette|
ROYAL|XXX|reyal (-ist, -isme)|
ROYALTY|XXX|dignitá reyal, soveranitá; (on a book etc.; tantieme|
RUB|v.|frottar, fricter|
RUB OUT|v.|efaciar|
RUBBER|XXX|cautchuc; gumme|
RUBBER BAND|XXX|cautchuclace|
RUBBISH|XXX|escombre, jettallia; (exclam.) nonsens!|
RUBBLE|XXX|fragmentallia, murallia|
RUBESCENT|XXX|rubijant|
RUBRIC|XXX|rubrica|
RUBY|adj.|(colour) rubi|
RUBY|n.|rubine|
RUCHE|XXX|ruche|
RUCK UT|v.|frossar|
RUDDER|XXX|timon, stir|
RUDDY|XXX|rubatri|
RUDE|XXX|rud, íncivil, íncult, ínpolit, crud, descortesi, impertinent|
RUDIMENT|XXX|rudiment (-al, -ari)|
RUE|n.|(bot.) ruta|
RUE|v.|lamentar, regretar|
RUEFUL|XXX|morni, trist|
RUFF|XXX|colarette|
RUFFIAN|XXX|rixard, bandite|
RUFFLE|n.|manchette; jabot|
RUFFLE|v.|frossar; desordinar; (discompose) detranquilisar|
RUFFLED GROUSE|XXX|tetraon|
RUG|XXX|tapisse; (cloth) lan-covritura|
RUGATE|XXX|rugat, rugosi|
RUGGED|XXX|aspri, sulcosi|
RUIN|v.|ruinar, damagear; desolar|
RUIN|n.|ruine (-osi), perition|
RULE|v.|guvernar; (establish, lay down) statuer; (line) linear|
RULE|n.|regul, norme; (regulation) regulament; (for lines), lineale; (of king etc.) regne, regnantie|
RULE OUT|v.|excluder|
RULER|XXX|guvernator; (instrument) mesurette, lineale|
RUM|adj.|strangi, bizarri|
RUM|n.|rum|
RUMBA|XXX|rumba|
RUMBLE|v.|rul-sonar|
RUMIAGE|v.|traserchar|
RUMINATE|v.|ruminar (-ant, -ation) , meditar|
RUMOUR|XXX|fama, rumore|
RUMP|XXX|fesse|
RUMPLE|v.|frossar|
RUN|n.|curse, currida|
RUN|v.|currer; (fluids) fluer; (of ulcer) supurar|
RUN ACROSS|v.|incontrar|
RUN AGROUND|v.|strandar|
RUN AWAY|v.|fugir; (water) defluer|
RUN COUNTER TO|v.|contrariar, esser contrari a|
RUN INTO|v.|colider con|
RUN OVER|v.|debordar, superfluer; (vehicle) super-currer|
RUN RIOT|v.|turbulear|
RUN SHORT OF|v.|ne plu haver, mancar|
RUN UP AGAINST|v.|chocar se contra, incontrar|
RUNAWAY|XXX|fugitor, desertor, fugitivo|
RUNE|XXX|rune (-ic)|
RUNG|n.|scalun|
RUNNER|XXX|currero; (mech.) glissuore; (of plant) sarment (-osi)|
RUPTURE|n.|ruptura, hernie (-al)|
RUPTURE|v.|rupter|
RURAL|XXX|rural, rustic|
RUSE|XXX|astutie, ruse, tric|
RUSH|n.|hastada; (reed) cárex|
RUSH|v.|hastar; (rush at) jettar se vers (contra), precipitar se, adcurrer impetuosimen|
RUSSET|XXX|ross|
RUSSIA LEATHER|XXX|yufte|
RUSSIAN LEATHER|XXX|yufte|
RUST|XXX|oxide (-ar se, -at), ferruine|
RUSTIC|XXX|rustic (-itá), rural; (person) rustico, provincialo|
RUSTLE|v.|frufrutar|
RUT|XXX|rot-sulca, carril|
RUTHLESS|XXX|ínhuman, sin campatiment|
RYE|XXX|secale|
SABBATH|XXX|sábbat; (Sunday) soledí|
SABLE|adj.|nigri|
SABLE|n.|zóbol|
SABOT|XXX|lignin sapate|
SABOTAGE|v.|sabotar (-age)|
SABRE|XXX|sabre (-ar)|
SACCHARINE|XXX|sacarine|
SACERDOTAL|XXX|sacerdotal (-isme)|
SACK|n.|sac (-ada)|
SACK|v.|pilliar; (dismiss) desemployar, desingagear, demisser|
SACK-CLOTH|XXX|sacco|
SACKING|XXX|sac-linage|
SACRAMENT|XXX|sacrament (-al)|
SACRED|XXX|sacri, sant|
SACRIFICE|n.|sacrificie (-al)|
SACRIFICE|v.|sacrificar (-ator), imolar|
SACRILEGE|XXX|sacrilegie (-osi)|
SACRISTAN|XXX|sacristan|
SACRISTY|XXX|sacristia|
SACROSANCT|XXX|sacro-sant|
SAD|XXX|trist (-esse), morni; (grievous) grav|
SADDEN|v.|atristar|
SADDLE|v.|(burden) chargear|
SADDLE|n.|sedle (-ar, -ero, -ería)|
SAFE|adj.|salv, secur, ínnocet, in bon statu, in bon standa|
SAFE|n.|moné-scaf, garda-moné; (food) garda-manjage|
SAFE-CONDUCT|n.|passa-permisse|
SAFEGUARD|XXX|precaution|
SAFFRON|XXX|safran|
SAG|v.|pender lax|
SAGA|XXX|saga, legende|
SAGACIOUS|XXX|sagaci (-tá)|
SAGE|adj.|sagi (-tá)|
SAGE|n.|sagio; (bot.) salvia|
SAGO|XXX|sago (-palme)|
SAIL|n.|segle (-ar, -ero, -ation, -ator); (journey) passage|
SAIL|v.|navigar|
SAILOR|XXX|marinero|
SAINFOIN|XXX|esparsette|
SAINT|XXX|santo (-itá)|
SAL-AMMONIAC|XXX|sal-amoniac|
SALAD|XXX|salade (-iere)|
SALAMANDER|XXX|salamandre|
SALARY|XXX|salarie (-ar)|
SALE|XXX|vende, rendition, vendida; realisation|
SALESMAN|XXX|venditor|
SALIENT|XXX|salient, prominent|
SALINE|adj.|salin|
SALIVA|XXX|saliva (-ar)|
SALLOW|adj.|pallid, yelb|
SALLOW|n.|salice|
SALLY|n.|curr-atacca; (of wit) espritositá|
SALLY|v.|surtir|
SALMON|XXX|salmon|
SALOON|n.|(room) sala, salon|
SALT|adj.|salosi, salat, salin|
SALT|n.|sale (-ar, -iere, -iera)|
SALT|v.|(in)salar, marinar|
SALT CELLAR|XXX|saliere|
SALTPETRE|XXX|salpetre, nitre|
SALUBRIOUS|XXX|salubri (-tá)|
SALUTARY|XXX|util, salutari|
SALUTE|XXX|salute (-ar)|
SALVAGE|v.|salvagear|
SALVAGE|n.|salvage|
SALVATION|XXX|salvation (-ist)|
SALVE|XXX|unguente (-ar), balsam|
SALVO|XXX|salve|
SAME|XXX|sam, identic|
SAMOVAR|n.|samovar|
SAMPLE|v.|provar, mustrar|
SAMPLE|n.|specimen, mustre, exemplare|
SANATORIUM|XXX|sanatoria|
SANCTIFY|v.|santificar (-ation)|
SANCTIMONIOUS|XXX|hipocritic, piachi|
SANCTION|XXX|sanction (-ar)|
SANCTITY|XXX|santitá|
SANCTUARY|XXX|santuarium; (refuge) asil|
